"","encoding","file","scenario","size","anomaly","impact","overlapping.F1.mean","overlapping.F1.sd","overlapping.F1v.mean","overlapping.F1v.sd","overlapping.F2.mean","overlapping.F2.sd","overlapping.F3.mean","overlapping.F3.sd","overlapping.F4.mean","overlapping.F4.sd","neighborhood.N1","neighborhood.N2.mean","neighborhood.N2.sd","neighborhood.N3.mean","neighborhood.N3.sd","neighborhood.N4.mean","neighborhood.N4.sd","neighborhood.T1.mean","neighborhood.T1.sd","neighborhood.LSC","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L2.sd","linearity.L3.mean","linearity.L3.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4","balance.C1","balance.C2","network.Density","network.ClsCoef","network.Hubs.mean","network.Hubs.sd"
"1165","tokenreplay","scenario5_1000_all_0.2.csv","scenario5","1000","all","0.2","0.993853352375981","0.00390326755065383","0.820798817006372","0.114125765037395","0.185569804365639","0.163235653694049","0.884021082631138","0.0827064221317687","0.732391529566027","0.17282687979998","0.764","0.479709503108625","0.461860040775365","0.231","0.421683313419937","0.545","0.498220055019088","0.000156692056583243","0.000837204305977774","0.999346","0.188904776012947","0.10147495518208","0.297003256565617","0.167853851625199","0.282332404220263","0.162552976289586","0.006","0.001","0.166666666666667","0.446062192924243","0.716375220754346","0.925149149149149","0.315174540346165","0.955227222541315","0.108923254656397"
"1175","tokenreplay","scenario5_1000_attribute_0.05.csv","scenario5","1000","attribute","0.05","0.999519846261504","0.000325844641189257","0.95743705086604",NA,"0.306818181818182",NA,"0.992",NA,"0.992",NA,"0.131","0.0537339374787367","0.193607097512867","0.044","0.205197724417465","0.049","0.215976030257169","0.000101973684210526","0.00260151025278683","0.993843","0.041221944779667",NA,"0.043",NA,"0.043",NA,"0.006","0.001","0.166666666666667","0.25588191564677","0.910316901638665","0.95237037037037","0.717692818719273","0.960724409700833","0.108253133590149"
"1185","tokenreplay","scenario5_1000_attribute_0.1.csv","scenario5","1000","attribute","0.1","0.99672561288909","0","0.963260459206728",NA,"1",NA,"1",NA,"1",NA,"0.141","1",NA,"0.196","0.397167145848875","0.108","0.310535718448671","1e-06","3.16227766016838e-05","1","0.0867579908665923",NA,"0.095",NA,"0.092",NA,"0.006","0.001","0.166666666666667","0.452942548187283","0.792343457520681","0.959265265265265","0.918075533599461","0.881916910076052","0.247969357748641"
"1195","tokenreplay","scenario5_1000_attribute_0.15.csv","scenario5","1000","attribute","0.15","0.999944468713065","5.13892763806627e-05","0.986436116258175",NA,"0.721951219512195",NA,"0.996",NA,"0.992",NA,"0.321","0.403456709087444","0.413894917299345","0.272","0.4452125494797","0.206","0.404632830758612","1.4098690835851e-05","0.000195211367890106","0.999955","0.134936340388382",NA,"0.156",NA,"0.145",NA,"0.006","0.001","0.166666666666667","0.624653823250712","0.642543764389036","0.967511511511511","0.71693008097044","0.903577848200185","0.209941354212539"
"1205","tokenreplay","scenario5_1000_attribute_0.2.csv","scenario5","1000","attribute","0.2","0.998190470829187","0.000937641074254008","0.985228786759398",NA,"1",NA,"1",NA,"1",NA,"0.414","0","0","0.491","0.50016914056064","0.402","0.490547282773676","1.7258883248731e-05","0.000510764808914215","0.999744","0.168058205061585",NA,"0.202",NA,"0.201",NA,"0.006","0.001","0.166666666666667","0.725910106040793","0.524220493264542","0.966652652652653","0.669578057822042","0.898282174950874","0.268642147903738"
"1219","tokenreplay","scenario5_1000_early_0.05.csv","scenario5","1000","early","0.05","0.998871796984801","0.00124329838032261","0.378360070584616",NA,"0.0451092117758783",NA,"0.996",NA,"0.996",NA,"0.612","0.0605087317767217","0.213777600876974","0.039","0.193691808077979","0.329","0.470085077384913","0.000269662921348315","0.00310115962363048","0.992673","0.0467067049065596",NA,"0.049",NA,"0.049",NA,"0.006","0.001","0.166666666666667","0.299006577721677","0.888417083695524","0.913281281281281","0.610207358013523","0.911481054731994","0.223385367341679"
"1225","tokenreplay","scenario5_1000_early_0.1.csv","scenario5","1000","early","0.1","0.999403046229341","0.000691273462727145","0.950083421089103",NA,"0.915532322343564",NA,"0.993",NA,"0.993",NA,"0.574","0.111298594893359","0.276796152838496","0.126","0.332015412645609","0.397","0.489520817361867","0.000287141073657928","0.00254459170424714","0.995235","0.0925581468672925",NA,"0.102",NA,"0.103",NA,"0.006","0.001","0.166666666666667","0.475303571783445","0.775722079117736","0.910542542542543","0.336867091702106","0.921802758631038","0.205853814996122"
"1235","tokenreplay","scenario5_1000_early_0.15.csv","scenario5","1000","early","0.15","0.998850694145727","0.00159139438780306","0.882423592602299",NA,"0.177945913725022",NA,"0.998",NA,"0.997",NA,"0.35","0.154370286113079","0.317599834874664","0.132","0.338660140392534","0.223","0.416466618643613","4.87046632124352e-05","0.000695801636871043","0.999536","0.122062887741469",NA,"0.139",NA,"0.144",NA,"0.006","0.001","0.166666666666667","0.586851742115917","0.680324429042364","0.925241241241241","0.554305395957981","0.897645718093197","0.250939475843396"
"1245","tokenreplay","scenario5_1000_early_0.2.csv","scenario5","1000","early","0.2","0.993377006205055","0.00246827746094047","0.901819380427693",NA,"0.174012476084184",NA,"0.988",NA,"0.985",NA,"0.725","0.243888657523385","0.309781583319339","0.278","0.448237567498438","0.423","0.494282626960846","5.71725571725572e-05","0.000645044755084424","0.999667","0.157539817740157",NA,"0.187",NA,"0.165",NA,"0.006","0.001","0.166666666666667","0.695153336956101","0.563090390235912","0.939637637637638","0.592325906014425","0.868044580866375","0.205314086839677"
"1255","tokenreplay","scenario5_1000_insert_0.05.csv","scenario5","1000","insert","0.05","0.999187135686626","0.000776777716431345","0.477630859228312",NA,"0.554817511346767",NA,"0.997",NA,"0.996",NA,"0.641","0.0879216271035855","0.241169324857952","0.031","0.173404351355637","0.383","0.486361539955153","0.000115894039735099","0.0022116794763001","0.995564","0.0363148958510777",NA,"0.035",NA,"0.043",NA,"0.006","0.001","0.166666666666667","0.237688289562885","0.918968003614971","0.951199199199199","0.75784655925817","0.858287740562223","0.302430703477966"
"1265","tokenreplay","scenario5_1000_insert_0.1.csv","scenario5","1000","insert","0.1","0.999225476233643","0.000694547953225175","0.723290583849765",NA,"0.632809418706202",NA,"0.99",NA,"0.988",NA,"0.913","0.0882467067143112","0.179201355598717","0.29","0.453989103510322","0.477","0.499720642680209","8.77944325481799e-05","0.00101373253432978","0.999262","0.101490406524193",NA,"0.1",NA,"0.111",NA,"0.006","0.001","0.166666666666667","0.505919244072741","0.751697691140049","0.954216216216216","0.829944516702613","0.84611289329816","0.335106030442995"
"1275","tokenreplay","scenario5_1000_insert_0.15.csv","scenario5","1000","insert","0.15","0.998698557828104","0.00220535057236797","0.568690879700433",NA,"0.162542953009895",NA,"0.985",NA,"0.976",NA,"0.872","0.106958477260856","0.217032060005804","0.097","0.296105857217784","0.437","0.496263314458441","7.78251599147121e-05","0.000827307912056546","0.999448","0.120110392297441",NA,"0.138",NA,"0.13",NA,"0.006","0.001","0.166666666666667","0.617297163775739","0.65014079031557","0.962660660660661","0.730910998573805","0.896676211551221","0.216384827566458"
"1285","tokenreplay","scenario5_1000_insert_0.2.csv","scenario5","1000","insert","0.2","0.998270182991879","0.00169795836677651","0.672179033590284",NA,"0.466907002302281",NA,"0.978",NA,"0.971",NA,"0.83","0.102989872933353","0.184439257737656","0.11","0.313046319253234","0.432","0.495602281695334","9.74025974025974e-05","0.00124263104919104","0.999072","0.154655856886265",NA,"0.17",NA,"0.169",NA,"0.006","0.001","0.166666666666667","0.709764554284242","0.544972005261381","0.962616616616617","0.701312606619671","0.895315899705671","0.251063952411892"
"1295","tokenreplay","scenario5_1000_late_0.05.csv","scenario5","1000","late","0.05","0.998253899540085","0.00131699605096375","0.597799559863937",NA,"0.310482603815937",NA,"0.993",NA,"0.989",NA,"0.735","0.180508666250801","0.310387614977414","0.04","0.196057232558349","0.222","0.415799096787005","6.72268907563025e-05","0.000756115952996643","0.999449","0.0511421746395492",NA,"0.05",NA,"0.047",NA,"0.006","0.001","0.166666666666667","0.299006577721677","0.888417083695524","0.921617617617618","0.808635676963601","0.714557970911153","0.322959312737158"
"1305","tokenreplay","scenario5_1000_late_0.1.csv","scenario5","1000","late","0.1","0.999647532211633","0.00038845426602456","0.957652369088533",NA,"0.329825082524822",NA,"0.993",NA,"0.988",NA,"0.519","0.111791467270455","0.275021210790117","0.071","0.256953351846254","0.416","0.493140129362017","0.000203051643192488","0.00195479826835157","0.996742","0.0833953796357211",NA,"0.091",NA,"0.091",NA,"0.006","0.001","0.166666666666667","0.439798908271562","0.801766675214064","0.909847847847848","0.494104381882491","0.834065059989699","0.263134961797444"
"1318","tokenreplay","scenario5_1000_late_0.15.csv","scenario5","1000","late","0.15","0.999895240415006","0.000159534739721519","0.999106584069129",NA,"0.646396340533677",NA,"0.994",NA,"0.99",NA,"0.527","0.136095303207637","0.289839596108529","0.114","0.317970289657863","0.406","0.491330240678716","0.00017292377701934","0.00150538728316522","0.998297","0.120518066057382",NA,"0.133",NA,"0.13",NA,"0.006","0.001","0.166666666666667","0.565608665887098","0.700248772384966","0.921977977977978","0.438665527387229","0.854007036043734","0.283827116515126"
"1325","tokenreplay","scenario5_1000_late_0.2.csv","scenario5","1000","late","0.2","0.999125786606177","0.00100900448284792","0.937774715844617",NA,"0.41682349778196",NA,"0.993",NA,"0.992",NA,"0.675","0.263845241313343","0.378861731396448","0.251","0.433805471596645","0.446","0.49732417127195","6.37408568443051e-05","0.000770203341984897","0.999478","0.152215168635336",NA,"0.176",NA,"0.18",NA,"0.006","0.001","0.166666666666667","0.701471459883897","0.555330829240104","0.933567567567568","0.484861249671141","0.87574459683022","0.315445592695791"
"1335","tokenreplay","scenario5_1000_rework_0.05.csv","scenario5","1000","rework","0.05","0.98764394693783","0.0100219045697725","0.446730944944609",NA,"0.370089273845159",NA,"0.703",NA,"0.623",NA,"0.741","0.00868032181950775","0.076569874318656","0.008","0.0891288053546324","0.336","0.472575208117531","0.00748760330578512","0.0360162268296017","0.838187","0.0386721627596884",NA,"0.04",NA,"0.039",NA,"0.006","0.001","0.166666666666667","0.26034062501245","0.908144369518885","0.942232232232232","0.576123810990933","0.880152663386391","0.229503698189515"
"1345","tokenreplay","scenario5_1000_rework_0.1.csv","scenario5","1000","rework","0.1","0.991799021984694","0.00438301737993724","0.523693407401678",NA,"0.135401267838727",NA,"0.735",NA,"0.63",NA,"0.569","0.0119828204241057","0.0871533863659629","0.024","0.1531255937048","0.423","0.494282626960846","0.00272363636363636","0.0190298455912009","0.899855","0.0825860320035351",NA,"0.09",NA,"0.094",NA,"0.006","0.001","0.166666666666667","0.459413032704721","0.787611327589844","0.931135135135135","0.682311633468491","0.978750486162954","0.105012630468373"
"1355","tokenreplay","scenario5_1000_rework_0.15.csv","scenario5","1000","rework","0.15","0.999244076920718","0.000650208049805453","0.841132355263656",NA,"0.0981610004667017",NA,"0.739",NA,"0.671",NA,"0.749","0.0178848722960955","0.104754106434936","0.033","0.178725887724591","0.391","0.488218554908923","0.00277454545454545","0.0168570656868272","0.91946","0.133391476068867",NA,"0.154",NA,"0.155",NA,"0.006","0.001","0.166666666666667","0.619760437655595","0.647610598405262","0.913023023023023","0.579983310569054","0.843181274701532","0.177895685436084"
"1365","tokenreplay","scenario5_1000_rework_0.2.csv","scenario5","1000","rework","0.2","0.996008831870104","0.00416684737469065","0.957652213465057",NA,"0.2785082558933",NA,"0.696",NA,"0.565",NA,"0.707","0.0227700257438353","0.129567247719126","0.066","0.248406331855099","0.374","0.484105730557239","0.00245150501672241","0.0187654229027915","0.893743","0.171737473662279",NA,"0.202",NA,"0.206",NA,"0.006","0.001","0.166666666666667","0.725910106040793","0.524220493264542","0.943049049049049","0.612675527069724","0.884991382968492","0.218142482113998"
"1375","tokenreplay","scenario5_1000_skip_0.05.csv","scenario5","1000","skip","0.05","0.842241490804093","0.151003884330714","0.0633587676451672",NA,"0.528528528528528",NA,"0.989",NA,"0.977",NA,"0.046","0.0145371345900391","0.0803011059355398","0.087","0.281976081451088","0.023","0.149978310076802","0.000517241379310345","0.00835659381844381","0.961069","0.027867876383601",NA,"0.026",NA,"0.026",NA,"0.006","0.001","0.166666666666667","0.273513827707064","0.901603439299311","0.960654654654655","0.854382724346537","0.958144390961475","0.119542847058602"
"1385","tokenreplay","scenario5_1000_skip_0.1.csv","scenario5","1000","skip","0.1","0.932429130514777","0.0658335844388813","0.225286255711327",NA,"0.149058149058149",NA,"0.982",NA,"0.979",NA,"0.597","0.282848675210542","0.366712377004535","0.12","0.325124138915747","0.363","0.481105458774334","5.175983436853e-05","0.000543841648967684","0.999755","0.0732020816584446",NA,"0.0649999999999999",NA,"0.0659999999999999",NA,"0.006","0.001","0.166666666666667","0.419556496238547","0.815797264491681","0.938258258258258","0.691908858582156","0.843874103008358","0.328877469945453"
"1395","tokenreplay","scenario5_1000_skip_0.15.csv","scenario5","1000","skip","0.15","0.832603685931105","0.146973426316251","0.181710355701048",NA,"0.0347826086956522",NA,"0.944",NA,"0.94",NA,"0.129","0.0412586547425299","0.129962728030865","0.093","0.290577761426155","0.302","0.45935499018407","0.00017093023255814","0.00286479844779098","0.993265","0.0776467096252829",NA,"0.085",NA,"0.071",NA,"0.006","0.001","0.166666666666667","0.592041938748365","0.675317725043648","0.953167167167167","0.671707449990905","0.878980342910691","0.292826697774417"
"1405","tokenreplay","scenario5_1000_skip_0.2.csv","scenario5","1000","skip","0.2","0.954169606938271","0.0426874496797446","0.432797361120176",NA,"0.00511253447008912",NA,"0.947",NA,"0.907",NA,"0.442","0.0441372991529916","0.135246919610744","0.14","0.347160655202344","0.46","0.498646817545895","0.000167243367935409","0.00242741028324383","0.995532","0.11971082343967",NA,"0.136",NA,"0.126",NA,"0.006","0.001","0.166666666666667","0.648472158805648","0.617088362521988","0.939707707707708","0.668962434766774","0.870326379914615","0.224520691166433"
"1107","node2vec ","scenario1_1000_all_0.05.csv","scenario1","1000","all","0.05","0.898700112594256","0.0832221132321073","0.343373214791717","0.262709295353604","0.0098558985133865","0.0451493157512092","0.310186284548131","0.278437956073307","0.0355469450275973","0.0793791292211451","0.098","0.118349910670637","0.200101625120654","0.051","0.220107808692576","0.367","0.482227688487029","0.00724427480916031","0.0178446680694406","0.963539","0.0327475849776601","0.0799829879130986","0.0527894421588563","0.128936249370336","0.0374605013582174","0.0913043989946839","0.128","0.003","0.0234375","0.164958792735493","0.928425430710518","0.843503503503503","0.225258654739421","0.841209278942112","0.29940265519622"
"219","node2vec ","scenario1_1000_all_0.1.csv","scenario1","1000","all","0.1","0.990671897045545","0.0109252143005503","0.234490396564055","0.331567694945191","0.0623545825254444","0.129900679132055","0.590795694203423","0.218625613394435","0.0480328569119168","0.0769046482454006","0.185","0.158769943677912","0.229068331105579","0.071","0.256953351846254","0.534","0.499092269117739","0.00292123287671233","0.00899812663896626","0.977834","0.0638715902711235","0.0935084291734778","0.0953700606237446","0.138479815606079","0.0768113302039793","0.127559558853437","0.128","0.001","0.0078125","0.258699915901853","0.871819181463779","0.853603603603604","0.217997670073772","0.831118998839153","0.30985279628025"
"317","node2vec ","scenario1_1000_all_0.15.csv","scenario1","1000","all","0.15","0.978197240097474","0.0422672551106977","0.228378264317909","0.326369145113225","0.248401884077953","0.404553944189018","0.563334581885229","0.308016732193134","0.0624178521572422","0.114350052482496","0.231","0.172068674140286","0.253460916902536","0.123","0.328601550481703","0.467","0.49915945364198","0.00273051948051948","0.00844769943759204","0.98191","0.0692157198415688","0.0903224578054046","0.0929547213319033","0.129771147938888","0.0899027656091102","0.154778881710772","0.128","0.001","0.0078125","0.343633403459177","0.808493917080773","0.862484484484485","0.19710958461698","0.844145980692216","0.308155045388491"
"418","node2vec ","scenario1_1000_all_0.2.csv","scenario1","1000","all","0.2","0.963728332805352","0.0450743235186119","0.236664769576011","0.32492071572358","0.179496458324163","0.324496683764138","0.643466336358315","0.21851417655697","0.0519438329619607","0.156421207137386","0.357","0.263275016349389","0.285253361123132","0.163","0.369550493934953","0.563","0.496263314458441","0.00170378619153675","0.00435828530632481","0.992557","0.0592009167725132","0.0873438957015008","0.0769681910589011","0.120248694989336","0.0655172871564446","0.121407248490618","0.128","0.002","0.015625","0.431578717787399","0.730559765087759","0.873903903903904","0.187890527405775","0.83664490427993","0.345129580064532"
"517","node2vec ","scenario1_1000_attribute_0.05.csv","scenario1","1000","attribute","0.05","0.99923204047044","0.00020231785249266","0.964590321928449",NA,"0.999850488049759",NA,"0.916",NA,"0.656",NA,"0.1","0.126490577943176","0.214901889371258","0.057","0.231958627355839","0.05","0.218054001448145","0.00246103896103896","0.00959243262879082","0.980983","0.0359178980328915",NA,"0.037",NA,"0.043",NA,"0.128","0.001","0.0078125","0.228364025840565","0.923270071860955","0.837527527527528","0.225655754447183","0.863116213546066","0.330714582249483"
"620","node2vec ","scenario1_1000_attribute_0.1.csv","scenario1","1000","attribute","0.1","0.997112781425924","0.00217471237046673","0.901219685794906",NA,"0.999764796001779",NA,"0.944",NA,"0.881",NA,"0.284","0.252356615864019","0.320252855491238","0.176","0.381010720543621","0.164","0.370460849809047","0.00107832422586521","0.00425415899085863","0.993616","0.0999121125165516",NA,"0.111",NA,"0.119",NA,"0.128","0.003","0.0234375","0.50292491124756","0.754114536742408","0.851347347347347","0.318178574919401","0.863985432876187","0.277774274413362"
"719","node2vec ","scenario1_1000_attribute_0.15.csv","scenario1","1000","attribute","0.15","0.999925879630038","0.000162938265257999","0.979872930428077",NA,"0.999930979330015",NA,"0.987",NA,"0.916",NA,"0.37","0.322734323931227","0.341063286709458","0.212","0.408929362143663","0.255","0.436079310636454","0.000778816199376947","0.00249448436807619","0.996949","0.129033057330949",NA,"0.148",NA,"0.129",NA,"0.128","0.001","0.0078125","0.604812590116588","0.662758355085797","0.869823823823824","0.274924324676889","0.872675094860544","0.271396131674374"
"820","node2vec ","scenario1_1000_attribute_0.2.csv","scenario1","1000","attribute","0.2","0.99602670039858","0.0029433768346571","0.879737513003008",NA,"0.999923084631621",NA,"0.987",NA,"0.929",NA,"0.412","0.335196879034064","0.346864530180631","0.265","0.441554039693863","0.238","0.426072221034812","0.00072953216374269","0.00228399596219716","0.997313","0.149664293413348",NA,"0.176",NA,"0.186",NA,"0.128","0.003","0.0234375","0.671247885382951","0.591454070134319","0.875767767767768","0.244167599436445","0.86081929326003","0.305747767137874"
"918","node2vec ","scenario1_1000_early_0.05.csv","scenario1","1000","early","0.05","0.999132483449481","0.00070069977589825","0.76785746634951",NA,"0.999965117663571",NA,"0.959",NA,"0.643",NA,"0.182","0.113260440174173","0.199181425596202","0.056","0.230036772966665","0.181","0.385210834981815","0.00702142857142857","0.0152440425241101","0.963855","0.0539234553873352",NA,"0.0570000000000001",NA,"0.0659999999999999",NA,"0.128","0.001","0.0078125","0.315419088938081","0.87954930991442","0.839503503503503","0.235298715582001","0.852557462517799","0.299509524891121"
"1019","node2vec ","scenario1_1000_early_0.1.csv","scenario1","1000","early","0.1","0.997619027720952","0.00108134881138452","0.929609081980466",NA,"0.999959831773906",NA,"0.965",NA,"0.823",NA,"0.238","0.159853298903618","0.229209240111431","0.097","0.296105857217784","0.343","0.474949025240158","0.00338489208633094","0.00821195231468361","0.984565","0.0999159263531747",NA,"0.111",NA,"0.117",NA,"0.128","0.002","0.015625","0.50292491124756","0.754114536742408","0.854846846846847","0.21735382720899","0.844219430136628","0.28924671434692"
"1118","node2vec ","scenario1_1000_early_0.15.csv","scenario1","1000","early","0.15","0.999948886516867","5.29418616274311e-05","0.978438826366083",NA,"0.99997645778858",NA,"0.985",NA,"0.744",NA,"0.354","0.180722447554128","0.243024575071391","0.124","0.32974646735444","0.29","0.453989103510322","0.00297160883280757","0.00582137714781794","0.987258","0.134204128026671",NA,"0.155",NA,"0.148",NA,"0.128","0.001","0.0078125","0.622212638006313","0.645078246731251","0.865121121121121","0.212553956721398","0.84614504662252","0.310150757981417"
"1220","node2vec ","scenario1_1000_early_0.2.csv","scenario1","1000","early","0.2","0.999809224005211","0.000190183718905844","0.976598954496601",NA,"0.999971216624484",NA,"0.984",NA,"0.824",NA,"0.378","0.209288401064532","0.258965823094345","0.148","0.355277669185979","0.358","0.479652026021017","0.00228865979381443","0.00489308696100853","0.988386","0.148934810056439",NA,"0.175",NA,"0.187",NA,"0.128","0.001","0.0078125","0.669015835056558","0.59402460456942","0.87609009009009","0.228642194770013","0.876316631546282","0.272377631541081"
"1319","node2vec ","scenario1_1000_insert_0.05.csv","scenario1","1000","insert","0.05","0.861654239016032","0.165357727844114","0.00333884413883155",NA,"1.36204831454536e-62",NA,"0.233",NA,"0",NA,"0.008","0.00874755587724058","0.0458075537228507","0.001","0.0316227766016838","0.063","0.243084532807191","0.111111111111111","0.173625634948043","0.647916","0",NA,"0",NA,"0",NA,"0.128","0.002","0.015625","0.25588191564677","0.910316901638665","0.833333333333333","0.220890686649503","0.983436278029617","0.0905835653072344"
"1416","node2vec ","scenario1_1000_insert_0.1.csv","scenario1","1000","insert","0.1","0.876013468285331","0.184166855200998","0.00665985177413615",NA,"0",NA,"0",NA,"0",NA,"0.006","0.00918195719127379","0.0353871742979115","0","0","0.038","0.191291904148065","0.1938","0.181080645017627","0.681725","0",NA,"0",NA,"0",NA,"0.128","0.002","0.015625","0.4496822131225","0.79470441331032","0.841961961961962","0.192837246430618","0.972178073792598","0.114146568748912"
"1515","node2vec ","scenario1_1000_insert_0.15.csv","scenario1","1000","insert","0.15","0.911709296064245","0.148083206648501","0.0135298036707133",NA,"0",NA,"0",NA,"0",NA,"0.006","0.0143846462993087","0.0443619491869159","0","0","0.142","0.349224795737585","0.1","0.101174217181168","0.727359","0",NA,"0",NA,"0",NA,"0.128","0.002","0.015625","0.594619344095012","0.672810668478723","0.842854854854855","0.155141292984734","0.979891934817697","0.0743679526398173"
"1616","node2vec ","scenario1_1000_insert_0.2.csv","scenario1","1000","insert","0.2","0.921176928668114","0.121958357137463","0.025760691077497",NA,"0",NA,"0",NA,"0",NA,"0.008","0.0224078049181026","0.0534690394067412","0","0","0.122","0.327449573557858","0.0833333333333333","0.0872825436398506","0.839142","0",NA,"0",NA,"0",NA,"0.128","0.003","0.0234375","0.78320443028289","0.443768694228561","0.855453453453453","0.120960049044506","0.955445332978333","0.114673290638388"
"1715","node2vec ","scenario1_1000_late_0.05.csv","scenario1","1000","late","0.05","0.999516749689954","0.000192106952118583","0.897356876450781",NA,"0.999981613589662",NA,"0.965",NA,"0.516",NA,"0.148","0.133776678105068","0.205640905490375","0.064","0.244875404979683","0.233","0.422953768028954","0.00390434782608696","0.0113460640218001","0.971264","0.0583753782933208",NA,"0.0620000000000001",NA,"0.072",NA,"0.128","0.002","0.015625","0.335333535878678","0.868378884855288","0.843491491491491","0.224303397373173","0.840354499699218","0.310432944507589"
"1815","node2vec ","scenario1_1000_late_0.1.csv","scenario1","1000","late","0.1","0.999374095273826","0.000314353123382972","0.941979848633775",NA,"0.999964966014654",NA,"0.968",NA,"0.771",NA,"0.287","0.179976302681844","0.241034234161464","0.102","0.302799748493435","0.327","0.469351990824894","0.0023268156424581","0.00615230652241491","0.98628","0.0966584033752302",NA,"0.107",NA,"0.103",NA,"0.128","0.002","0.015625","0.490800203063912","0.763750188528096","0.859731731731732","0.229130513756451","0.86230572648102","0.287353482586552"
"1913","node2vec ","scenario1_1000_late_0.15.csv","scenario1","1000","late","0.15","0.998997807441019","0.00079390156770241","0.961973175673159",NA,"0.99998662716209",NA,"0.99",NA,"0.842",NA,"0.268","0.204826181364158","0.259531585710709","0.147","0.354283102217022","0.409","0.491895274383645","0.00208040201005025","0.00662364042143286","0.985425","0.129554350056475",NA,"0.15",NA,"0.156",NA,"0.128","0.002","0.015625","0.6098403047164","0.657718120805369","0.869397397397397","0.227000107743067","0.852334864868766","0.298566932130691"
"206","node2vec ","scenario1_1000_late_0.2.csv","scenario1","1000","late","0.2","0.999357968104562","0.000738740894602936","0.949375297183609",NA,"0.999963467190298",NA,"0.983",NA,"0.878",NA,"0.446","0.226369304125849","0.269451396619021","0.169","0.374939434548541","0.324","0.468234175646378","0.00230412371134021","0.00573040158548327","0.987529","0.171509009755525",NA,"0.207",NA,"0.214",NA,"0.128","0.002","0.015625","0.735709079286472","0.511235704140849","0.878016016016016","0.207687574192748","0.87357101523037","0.272531348964983"
"2110","node2vec ","scenario1_1000_rework_0.05.csv","scenario1","1000","rework","0.05","0.9982775408146","0.00453810851318667","0.00994914819924275",NA,"2.65941308247426e-66",NA,"0.921",NA,"0",NA,"0.027","0.0124439980944604","0.0716503692878399","0.007","0.0834143750078963","0.137","0.344019402576874","0.0526315789473684","0.0878459576799169","0.7998","0.0022333516430737",NA,"0.003",NA,"0.001",NA,"0.128","0.003","0.0234375","0.264765033935681","0.905967944860784","0.836528528528529","0.216495107871445","0.832393782681455","0.316892688549507"
"226","node2vec ","scenario1_1000_rework_0.1.csv","scenario1","1000","rework","0.1","0.992898119626868","0.00592043563330162","0.0204937464712236",NA,"3.48858862533834e-39",NA,"0.943",NA,"0",NA,"0.037","0.0235500989541313","0.0942036567626818","0.004","0.0631505185092568","0.317","0.465540253606203","0.0303030303030303","0.0663416747077605","0.828962","0.00105595299837302",NA,"0.002",NA,"0.001",NA,"0.128","0.001","0.0078125","0.468995593589281","0.780487804878049","0.848578578578579","0.209574819907316","0.84381833777361","0.311727751394438"
"235","node2vec ","scenario1_1000_rework_0.15.csv","scenario1","1000","rework","0.15","0.983226188498415","0.00941039473126282","0.0305285485206066",NA,"1.55407743643141e-75",NA,"0.882",NA,"0",NA,"0.034","0.0239620933055106","0.0917722277584433","0.01","0.0995485304256668","0.183","0.386860001370859","0.0344827586206897","0.0663764269094163","0.833884","0.000856183733950355",NA,"0.001",NA,"0.003",NA,"0.128","0.003","0.0234375","0.584238811642856","0.682824025289779","0.848696696696697","0.172336899153971","0.959968087122221","0.146799792911776"
"246","node2vec ","scenario1_1000_rework_0.2.csv","scenario1","1000","rework","0.2","0.997924502520636","0.00305962111969991","0.0397486024626574",NA,"9.24362611632579e-55",NA,"0.855",NA,"0",NA,"0.043","0.0236320610904048","0.0945538351212919","0.007","0.0834143750078963","0.201","0.400948574956639","0.0232558139534884","0.0505348031997826","0.870286","0.00238040395227768",NA,"0.002",NA,"0.002",NA,"0.128","0.003","0.0234375","0.741482739931274","0.50344208320862","0.863339339339339","0.15457469621158","0.948047481082711","0.154447390980595"
"255","node2vec ","scenario1_1000_skip_0.05.csv","scenario1","1000","skip","0.05","0.999210019262293","0.00211893469680872","0.0135961835125309",NA,"8.9477955113813e-94",NA,"0.958",NA,"0",NA,"0.019","0.0128026453573206","0.0706078469253963","0.006","0.0772655807586403","0.199","0.399447817065707","0.0555555555555556","0.0947071164617355","0.73594","0.00230889732954498",NA,"0.003",NA,"0",NA,"0.128","0.001","0.0078125","0.290629793328508","0.892827960965543","0.833001001001001","0.217359348529729","0.823952265936866","0.340014262956205"
"266","node2vec ","scenario1_1000_skip_0.1.csv","scenario1","1000","skip","0.1","0.941450570809857","0.0222026129490517","0.0309537458657614",NA,"1.26181456781925e-123",NA,"0.902",NA,"0.007",NA,"0.017","0.0137101604810276","0.0681104451352371","0.005","0.0705689732104696","0.186","0.389301368550838","0.0476190476190476","0.0781917362580447","0.820594","0.00099905305589798",NA,"0.001",NA,"0",NA,"0.128","0.001","0.0078125","0.484647739731445","0.768548734683825","0.840998998998999","0.226922693859397","0.972415829264515","0.106188279878838"
