"","encoding","file","scenario","size","anomaly","impact","overlapping.F1.mean","overlapping.F1.sd","overlapping.F1v.mean","overlapping.F1v.sd","overlapping.F2.mean","overlapping.F2.sd","overlapping.F3.mean","overlapping.F3.sd","overlapping.F4.mean","overlapping.F4.sd","neighborhood.N1","neighborhood.N2.mean","neighborhood.N2.sd","neighborhood.N3.mean","neighborhood.N3.sd","neighborhood.N4.mean","neighborhood.N4.sd","neighborhood.T1.mean","neighborhood.T1.sd","neighborhood.LSC","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L2.sd","linearity.L3.mean","linearity.L3.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4","balance.C1","balance.C2","network.Density","network.ClsCoef","network.Hubs.mean","network.Hubs.sd"
"99","countervectorizer","scenario3_1000_early_0.2.csv","scenario3","1000","early","0.2","0.999093508405184","0.00088984200420893","0.947356253817912",NA,"1",NA,"1",NA,"1",NA,"0.464","0.261904761904762","0.428475797324322","0.315","0.464748309293311","0.304","0.460212772308414","6.81341719077568e-05","0.000569024937652569","0.999688","0.179655455291222",NA,"0.219",NA,"0.213",NA,"0.064","0.009","0.140625","0.758337324120544","0.480062986189852","0.901507507507508","0.635567930751607","0.780582646291515","0.248325542481748"
"100","countervectorizer","scenario3_1000_insert_0.05.csv","scenario3","1000","insert","0.05","0.985768632365352","0.00845353334676007","0.293833302174493",NA,"0",NA,"0.999",NA,"0",NA,"0.437","0.0365630952380952","0.157112451463555","0.05","0.218054001448145","0","0","0.0144927536231884","0.0297517291580555","0.953272","1.13776335419757e-06",NA,"0.011",NA,"0.00700000000000001",NA,"0.134","0.009","0.0671641791044776","0.282133746452046","0.897223429149914","0.862836836836837","0.637677472382313","0.699427973634447","0.269716344409112"
"101","countervectorizer","scenario3_1000_insert_0.1.csv","scenario3","1000","insert","0.1","0.99284839369544","0.00260258387156039","0.423801123917458",NA,"0",NA,"0.999",NA,"0",NA,"0.684","0.0763190476190476","0.21219078451559","0.111","0.314289321768618","0","0","0.00689655172413793","0.0129076442348512","0.975105","2.84716149145936e-06",NA,"0.014",NA,"0.004",NA,"0.233","0.01","0.0429184549356223","0.49689226848537","0.758938743698511","0.875473473473473","0.634549390407011","0.716373514393223","0.273206731984589"
"102","countervectorizer","scenario3_1000_insert_0.15.csv","scenario3","1000","insert","0.15","0.995052206576646","0.00139409760118134","0.523006042738999",NA,"0",NA,"0.999",NA,"0",NA,"0.707","0.107654761904762","0.244828406733222","0.16","0.366789496216201","0","0","0.00505050505050505","0.00999327056555666","0.981555","1.48576749470219e-06",NA,"0.025",NA,"0.017",NA,"0.305","0.011","0.0360655737704918","0.627084051031926","0.640007180762086","0.881489489489489","0.610375385533839","0.735606734508932","0.26722515967279"
"103","countervectorizer","scenario3_1000_insert_0.2.csv","scenario3","1000","insert","0.2","0.995878714683466","0.00101134011296245","0.564582575468688",NA,"0",NA,"0.999",NA,"0",NA,"0.831","0.124420238095238","0.258064131026424","0.187","0.390106630529633","0","0","0.00436681222707424","0.00855661941692896","0.983381","1.21914386719268e-06",NA,"0.018",NA,"0.00600000000000001",NA,"0.348","0.018","0.0517241379310345","0.690893871435041","0.568258286205169","0.887351351351351","0.61558560227468","0.736242956996495","0.300012643936562"
"104","countervectorizer","scenario3_1000_late_0.05.csv","scenario3","1000","late","0.05","0.999695391463847","0.000365191250258389","0.934496818225273",NA,"1",NA,"1",NA,"1",NA,"0.137","0.0635260528194147","0.240973696367003","0.089","0.284886223184204","0.114","0.317970289657863","0.000744067796610169","0.00431217218183438","0.991797","0.0503315029338636",NA,"0.053",NA,"0.0580000000000001",NA,"0.064","0.009","0.140625","0.299006577721677","0.888417083695524","0.865085085085085","0.642422787828285","0.704732896215193","0.258974078832322"
"105","countervectorizer","scenario3_1000_late_0.1.csv","scenario3","1000","late","0.1","0.999352171098483","0.000679480026447417","0.923705215027198",NA,"1",NA,"1",NA,"1",NA,"0.24","0.0982758620689655","0.293818306089323","0.104","0.305413289293831","0.165","0.37136627864268","0.000342447916666667","0.00196678289056358","0.997106","0.0817299335512742",NA,"0.089",NA,"0.081",NA,"0.064","0.009","0.140625","0.433123110202409","0.806457542114146","0.873625625625626","0.631530994200156","0.718685317574159","0.259236052936652"
"106","countervectorizer","scenario3_1000_late_0.15.csv","scenario3","1000","late","0.15","0.998142226860855","0.00196154020982755","0.880762219528573",NA,"1",NA,"1",NA,"1",NA,"0.313","0.105577689243028","0.302999612112357","0.16","0.366789496216201","0.213","0.409632516774241","0.000282338308457711","0.00215203839308346","0.997364","0.107142857142857",NA,"0.12",NA,"0.131",NA,"0.064","0.009","0.140625","0.529360865287364","0.732251521298174","0.88214014014014","0.633565441269276","0.729632174402424","0.263831958694561"
"107","countervectorizer","scenario3_1000_late_0.2.csv","scenario3","1000","late","0.2","0.998171820896258","0.00234973548206687","0.893479125165298",NA,"1",NA,"1",NA,"1",NA,"0.473","0.184426229508197","0.375933107247166","0.3","0.458486870270251","0.32","0.466709564737876","0.000100323624595469","0.000797992826873457","0.999366","0.173558568118514",NA,"0.21",NA,"0.202",NA,"0.064","0.009","0.140625","0.741482739931274","0.50344208320862","0.89826026026026","0.651518748417011","0.766417280561087","0.263659581658876"
"108","countervectorizer","scenario3_1000_rework_0.05.csv","scenario3","1000","rework","0.05","0.980680083700901","0.02548519924254","0.000919192177856652",NA,"0",NA,"0.993",NA,"0",NA,"0.541","0.0343724442224442","0.152737506232445","0.046","0.209589904165081","0","0","0.0147058823529412","0.0288107871711064","0.956828","2.54901141327757e-05",NA,"0.005",NA,"0.005",NA,"0.064","0.009","0.140625","0.273513827707064","0.901603439299311","0.85842042042042","0.644970695108467","0.701353322030751","0.295933347605592"
"109","countervectorizer","scenario3_1000_rework_0.1.csv","scenario3","1000","rework","0.1","0.978279329699875","0.0236589465304596","0.0130341032521928",NA,"0",NA,"0.991",NA,"0",NA,"0.676","0.0694177169235993","0.201286289837713","0.101","0.301479501608136","0.011","0.104354635210372","0.00704225352112676","0.0117677725794379","0.974277","0.00186782504143712",NA,"0.01",NA,"0.004",NA,"0.064","0.01","0.15625","0.49689226848537","0.758938743698511","0.87037037037037","0.59134662451823","0.735308510160468","0.302123623375624"
"110","countervectorizer","scenario3_1000_rework_0.15.csv","scenario3","1000","rework","0.15","0.980080738814938","0.0194977135521204","0.0194699980537357",NA,"0",NA,"0.99",NA,"0",NA,"0.562","0.0893096937376349","0.222020933346959","0.125","0.330884397463048","0.011","0.104354635210372","0.00595238095238095","0.010675849696966","0.979911","0.00312922567327811",NA,"0.01",NA,"0.00900000000000001",NA,"0.064","0.011","0.171875","0.584238811642856","0.682824025289779","0.876252252252252","0.602823887363431","0.718725122258119","0.296680072546434"
"111","countervectorizer","scenario3_1000_rework_0.2.csv","scenario3","1000","rework","0.2","0.983517641324769","0.015983594520494","0.027920016763419",NA,"0",NA,"0.986",NA,"0",NA,"0.599","0.122267224442224","0.248791152349213","0.185","0.388491860823269","0.014","0.117549214450024","0.00404858299595142","0.00710015945201937","0.985386","0.00172197729857226",NA,"0.00700000000000001",NA,"0",NA,"0.064","0.013","0.203125","0.729856316947157","0.519027534240083","0.883387387387387","0.568386697479712","0.692994358904087","0.320228378831595"
"112","countervectorizer","scenario3_1000_skip_0.05.csv","scenario3","1000","skip","0.05","0.975784183945431","0.0302468937679016","0.000409599819944346",NA,"0",NA,"0.996",NA,"0.157",NA,"0.327","0.0266515873015873","0.134553506988829","0.035","0.18387171834953","0","0","0.0169491525423729","0.0306495337922655","0.951981","0.0010810851443438",NA,"0.004",NA,"0.004",NA,"0.064","0.009","0.140625","0.223641664484481","0.925415219559162","0.857279279279279","0.644299249888018","0.683502930638889","0.264551824164459"
