log,encoding,accuracy,accuracy_balanced,f1_binary,f1_micro,f1_macro,f1_weighted,precision_binary,precision_micro,precision_macro,precision_weighted,recall_binary,recall_micro,recall_macro,recall_weighted,time,mem_rf,mem_encoding,mem_labels,mem_total
scenario3_1000_attribute_0.05,tfidfvectorizer,0.9518333333333332,0.49991273996509594,0.9752714197185761,0.9518333333333332,0.48763570985928806,0.9285576401104833,0.9519924623115578,0.9518333333333332,0.4759962311557789,0.9064861348408711,0.9998254799301919,0.9518333333333332,0.49991273996509594,0.9518333333333332,0.2750074942906698,69644.13333333333,2136924.8,8169.0,2214737.933333333
scenario3_1000_attribute_0.05,tokenreplay,0.9513333333333333,0.5,0.97499895682801,0.9513333333333333,0.487499478414005,0.9276677098386565,0.9513333333333333,0.9513333333333333,0.4756666666666666,0.9052600000000002,1.0,0.9513333333333333,0.5,0.9513333333333333,0.26527573267618815,69648.53333333334,216164.0,8169.0,293981.5333333333
scenario3_1000_attribute_0.05,word2vec,0.947,0.4986879722316743,0.9727345004394957,0.947,0.48636725021974786,0.9236959478586709,0.9493816811329375,0.947,0.47469084056646876,0.9016070790399809,0.9973759444633487,0.947,0.4986879722316743,0.947,0.32785255114237466,69614.0,3288579.2,8169.0,3366362.2
scenario3_1000_attribute_0.15,alignment,0.8153333333333335,0.5038977423559886,0.8970205759957319,0.8153333333333335,0.49817403050406533,0.7907712857974188,0.8676384654603136,0.8153333333333335,0.5055869693508348,0.7718994441339482,0.9290222926464488,0.8153333333333335,0.5038977423559886,0.8153333333333335,0.2768190860748291,69642.53333333334,255917.86666666667,8169.0,333729.4
scenario3_1000_attribute_0.15,countvectorizer,0.8518333333333332,0.5019825587905454,0.9195341475992701,0.8518333333333331,0.4761610658806068,0.7973945923849285,0.8623773120482187,0.8518333333333332,0.524541830627284,0.7687791337397942,0.9852497220612844,0.8518333333333332,0.5019825587905454,0.8518333333333332,0.2668898105621338,69645.46666666666,2135944.533333333,8169.0,2213759.0
scenario3_1000_attribute_0.15,fasttext,0.8518333333333332,0.5031970053073445,0.9196477996367795,0.8518333333333331,0.47871837183153665,0.7983232382354859,0.8631052373568854,0.8518333333333332,0.5247470631228871,0.7699225335914074,0.9843776855999941,0.8518333333333332,0.5031970053073445,0.8518333333333332,0.32051112651824953,69640.13333333333,1688926.9333333333,8169.0,1766736.0666666667
scenario3_1000_attribute_0.15,hashvectorizer,0.8535,0.5018318799462498,0.9206110558806764,0.8535,0.47710142711062403,0.8008408816542756,0.8651883901727407,0.8535,0.5325148300070053,0.7790211307711835,0.9841252715755917,0.8535,0.5018318799462498,0.8535,0.28813364505767824,69644.66666666667,4183905.066666667,8169.0,4261718.733333333
scenario3_1000_attribute_0.15,node2vec,0.8496666666666666,0.5025818443091757,0.9184031315223998,0.8496666666666666,0.4744460332166035,0.7929658960099236,0.8592937044700374,0.8496666666666666,0.5057976458858122,0.7612176438220757,0.986717175732988,0.8496666666666666,0.5025818443091757,0.8496666666666666,0.32790470123291016,69643.86666666667,4185108.2666666666,8169.0,4262921.133333334
scenario3_1000_attribute_0.15,node2vecedges,0.8653333333333334,0.5020086065417543,0.9275817843464186,0.8653333333333334,0.4702722953986119,0.8062009127125449,0.8673585575160837,0.8653333333333334,0.4975681676469306,0.7709772416525104,0.9971142018790267,0.8653333333333334,0.5020086065417543,0.8653333333333334,0.42365259329477944,69650.0,4183826.1333333333,8169.0,4261645.133333334
scenario3_1000_attribute_0.15,onehot,0.8553333333333334,0.4987566632436707,0.9216863306909313,0.8553333333333332,0.4724566222206459,0.8030822090255998,0.867370818566482,0.8553333333333334,0.4867608061086378,0.7671974788085714,0.9836596724931985,0.8553333333333334,0.4987566632436707,0.8553333333333334,0.2691223541895548,69649.2,2136631.466666667,8169.0,2214449.6666666665
scenario3_1000_attribute_0.15,tfidfvectorizer,0.850333333333333,0.4968723157257251,0.9187656648421945,0.850333333333333,0.4714167720096531,0.7993527405880598,0.8654633074342771,0.850333333333333,0.47882953731502215,0.7631283843063151,0.9794089036409793,0.850333333333333,0.4968723157257251,0.850333333333333,0.2826503276824951,69645.06666666667,2136117.3333333335,8169.0,2213931.4
scenario3_1000_attribute_0.15,tokenreplay,0.8589999999999999,0.5007808914634313,0.9239292907949356,0.8589999999999999,0.46762778472727373,0.7987554165749308,0.862835624493557,0.8589999999999999,0.44975114558011176,0.7495177990370616,0.9948482187132984,0.8589999999999999,0.5007808914634313,0.8589999999999999,0.2634765068689982,69645.6,216164.0,8169.0,293978.6
scenario3_1000_attribute_0.15,word2vec,0.8458333333333333,0.5022055511267334,0.9160515218615235,0.8458333333333333,0.4764665269980675,0.791130724203536,0.8583020813032713,0.8458333333333333,0.5261748501754452,0.7643084716540618,0.9825161102685355,0.8458333333333333,0.5022055511267334,0.8458333333333333,0.3451313813527425,69621.2,3288437.3333333335,8169.0,3366227.533333333
scenario3_1000_early_0.1,alignment,0.8834999999999998,0.5138519924492716,0.93767426090338,0.8834999999999998,0.5102884013712076,0.8573063831307642,0.9082488773651062,0.8834999999999998,0.5355019038100183,0.838748848673916,0.9695949355944475,0.8834999999999998,0.5138519924492716,0.8834999999999998,0.2615846077601115,69616.26666666666,256082.13333333333,8165.0,333863.4
scenario3_1000_early_0.1,countvectorizer,0.8990000000000001,0.497327131338507,0.9467286625327327,0.8990000000000001,0.47511871723127863,0.8579412729821879,0.9053254775200235,0.8990000000000001,0.4559960720933451,0.8207559251304842,0.9922733102960617,0.8990000000000001,0.497327131338507,0.8990000000000001,0.2624419450759888,69625.06666666667,2137216.0,8165.0,2215006.066666667
scenario3_1000_early_0.1,fasttext,0.9055,0.5016254673150298,0.9502272756190071,0.9055,0.4841960661024582,0.867738293182279,0.9114959978239833,0.9055,0.4963035544675471,0.8385522127124538,0.9926980450531763,0.9055,0.5016254673150298,0.9055,0.30012240409851076,69622.0,1689392.0,8165.0,1767179.0
scenario3_1000_early_0.1,hashvectorizer,0.8998333333333333,0.5008094567751965,0.9471232740580936,0.8998333333333333,0.4825491519296053,0.8610289516094892,0.9073025999956923,0.8998333333333333,0.4819846333311795,0.8287192220343987,0.9908079530683797,0.8998333333333333,0.5008094567751965,0.8998333333333333,0.2715153614679972,69624.4,4184440.533333333,8165.0,4262229.933333334
scenario3_1000_early_0.1,node2vec,0.8988333333333336,0.4995079777004553,0.9466024942155169,0.8988333333333336,0.4776136014201127,0.8564385346542234,0.9036020863145975,0.8988333333333336,0.4718010431572987,0.8208599898200137,0.9940953204802755,0.8988333333333336,0.4995079777004553,0.8988333333333336,0.34418559074401855,69617.6,4185626.6666666665,8165.0,4263409.266666667
scenario3_1000_early_0.1,node2vecedges,0.9248333333333335,0.5872340877869385,0.9602303683943976,0.9248333333333335,0.6233025426871439,0.9000171630834957,0.9248774542902274,0.9248333333333335,0.9071609493673357,0.9219693150755995,0.9985282651791617,0.9248333333333335,0.5872340877869385,0.9248333333333335,0.45232154528299967,69621.2,4184889.6,8165.0,4262675.8
scenario3_1000_early_0.1,onehot,0.9066666666666668,0.5019748831283372,0.9509295276894146,0.9066666666666668,0.48387119659324535,0.8689708337968489,0.9125588198740465,0.9066666666666668,0.4740571877148011,0.835508247141501,0.9928915651984732,0.9066666666666668,0.5019748831283372,0.9066666666666668,0.2626529534657796,69618.93333333333,2136361.6,8165.0,2214145.533333333
